Season,Episode,Month,Year,Description,Rating
4,The One with Chandler in a Box,Nov 20,1997,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,9.0
4,The One Where They're Going to Party!,Dec 11,1997,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,7.7
4,The One with the Girl from Poughkeepsie,Dec 18,1997,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.",7.9
4,The One with Phoebe's Uterus,Jan 8,1998,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,8.4
4,The One with the Embryos,Jan 15,1998,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.",9.4
4,The One with Rachel's Crush,Jan 29,1998,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.",8.0
4,The One with Joey's Dirty Day,Feb 5,1998,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.",8.1
4,The One with All the Rugby,Feb 26,1998,"Chandler runs into Janice, and finds her more irritating than ever. Meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric switch.",8.3
4,The One with the Fake Party,Mar 19,1998,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,8.0
4,The One with the Free Porn,Mar 26,1998,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,8.5
4,The One with Rachel's New Dress,Apr 2,1998,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,8.1
4,The One with All the Haste,Apr 9,1998,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,8.6
4,The One with All the Wedding Dresses,Apr 16,1998,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.",8.4
4,The One with the Invitation,Apr 23,1998,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",6.9
4,The One with the Worst Best Man Ever,Apr 30,1998,"At first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.",8.3
4,The One with Ross's Wedding: Part 1,May 7,1998,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.,8.6
4,The One with Ross's Wedding: Part 2,May 7,1998,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,9.1
5,The One After Ross Says Rachel,Sep 24,1998,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",8.8
5,The One with All the Kissing,Oct 1,1998,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,8.9
5,The One Hundredth,Mar 24,1999,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",8.7
5,The One Where Phoebe Hates PBS,Oct 18,1998,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,8.1
5,The One with the Kips,Oct 29,1998,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,8.6
5,The One with the Yeti,Nov 5,1998,The gang become frustrated with Emily's demands. Monica and Rachel mistake their new neighbour for a yeti. Phoebe inherits a fur coat.,7.8
5,The One Where Ross Moves In,Nov 12,1998,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,8.2
5,The One with All the Thanksgivings,Nov 19,1998,The gang remember and share with each other their worst Thanksgivings.,9.0
5,The One with Ross's Sandwich,Dec 10,1998,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,9.0
5,The One with the Inappropriate Sister,Dec 17,1998,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,8.0
5,The One with All the Resolutions,Jan 7,1999,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Joey learns how to learn to play the guitar and Rachel decides not to gossip. Ross runs into trouble when he wears leather pants on a date.,9.0
5,The One with Chandler's Work Laugh,Jan 21,1999,Monica becomes annoyed at how Chandler sucks up to his boss. Rachel tries to confront Monica about her relationship with Chandler. Ross hooks up with Janice when he finds out Emily is getting married.,8.1
5,The One with Joey's Bag,Feb 4,1999,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",7.9
5,The One Where Everybody Finds Out,Feb 11,1999,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",9.7
5,The One with the Girl Who Hits Joey,Feb 18,1999,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,8.4
5,The One with the Cop,Feb 25,1999,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.",8.5
5,The One with Rachel's Inadvertent Kiss,Mar 18,1999,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,8.3
5,The One Where Rachel Smokes,Apr 8,1999,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",7.8
5,The One Where Ross Can't Flirt,Apr 22,1999,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",8.6
5,The One with the Ride Along,Apr 29,1999,The guys go on a ride-along with Gary where Ross thinks Joey saved his life which angers Chandler because he thinks Joey chose Ross over him. Rachel accidentally deletes a message from Emily on Ross's answering machine.,8.1
5,The One with the Ball,May 6,1999,"Gary asks Phoebe to move in with him but she's reluctant. To overcome boredom, Ross and Joey start endlessly throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",8.3
5,The One with Joey's Big Break,May 11,1999,"Joey drives to Las Vegas to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",8.1
5,The One in Vegas: Part 1,Nov 3,1999,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,8.6
5,The One in Vegas: Part 2,Nov 10,1999,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,9.0
6,The One After Vegas,Sep 23,1999,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,8.6
6,The One Where Ross Hugs Rachel,Sep 30,1999,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,8.0
6,The One with Ross's Denial,Oct 7,1999,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,8.0
6,The One Where Joey Loses His Insurance,Oct 14,1999,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",8.3
6,The One with Joey's Porsche,Oct 21,1999,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",8.0
6,The One on the Last Night,Nov 4,1999,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",8.4
6,The One Where Phoebe Runs,Nov 11,1999,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,8.2
6,The One with Ross' Teeth,Nov 18,1999,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,8.3
6,The One Where Ross Got High,Nov 25,1999,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,9.1
6,The One with the Routine,Dec 16,1999,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",8.5
6,The One with the Apothecary Table,Jan 6,2000,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",7.9
6,The One with the Joke,Jan 13,2000,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",7.8
6,The One with Rachel's Sister,Feb 3,2000,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",8.0
6,The One Where Chandler Can't Cry,Feb 10,2000,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",8.4
6,The One That Could Have Been: Part 1,Feb 17,2000,Barry and Mindy's impending divorce prompts the gang to fantasize about what their lives might be like if they'd all taken different courses.,8.3
6,The One That Could Have Been: Part 2,Feb 17,2000,The gang continue to think about how different their lives could have been.,8.3
6,The One with Unagi,Feb 24,2000,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,8.9
6,The One Where Ross Dates a Student,Mar 9,2000,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,8.1
6,The One with Joey's Fridge,Mar 23,2000,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,8.1
6,The One with Mac and C.H.E.E.S.E.,Apr 13,2000,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,7.1
6,The One Where Ross Meets Elizabeth's Dad,Apr 27,2000,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",8.5
6,The One Where Paul's the Man,May 4,2000,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue and Joey tries to get his acting headshot onto the wall of a local laundromat.,8.9
6,The One with the Ring,May 11,2000,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,8.4
6,The One with the Proposal: Part 1,May 18,2000,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,8.6
6,The One with the Proposal: Part 2,May 18,2000,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",9.2
